"AGENCIAS","Mora.Media","CAR.Media","Mora.8.30.Media","Judicial.Media","Cartera.Pesada.Promedio","Tasa.de.rentabilidad.Bruta","Ingreso.Promedio","Margen.Financiero.Mes.M","Intereses.de.Credito.Jun.17","Utilidad.Mes.M","Clientes","Cuentas","Desembolsos","Saldo","Meses.en.Funcion"
"Agencia_46",0.0294155490985322,0.0307645575391565,0.0300627977497487,0.0208104759064435,0.0538044352797088,1.71098588645081,776721.9115,3699153.1092,5066734.19,783192.6614,4559,4962,3335600,50073248.72,238.850102669405
"Agencia_47",0.0451012919741166,0.0516640478645016,0.0443411786876178,0.0236156993126163,0.0814915188670676,1.59331064180748,445385.9598,1491421.1682,2451247.76,295966.2097,2362,2586,1600911,20656441.35,54.3408624229979
"Agencia_48",0.0262215610757899,0.0270433979665709,0.0330226605943154,0.0140581819024603,0.0511012565577526,1.96605358169714,488875.975870588,1775237.6084,3234571.48,386063.7848,3415,3709,3152050,32539347.21,38.4722792607803
"Agencia_49",0.02716623465474,0.0420885590157996,0.0118319207502861,0.0222301254042676,0.0331150981130785,1.79962327923158,300903.988311765,1405668.7204,2069780.99,238706.4447,2110,2451,2055450,17884966.79,37.2895277207392
"Agencia_50",0.0180440954915867,0.0314680795553784,0.0219051641398755,0.0170609953400268,0.0382927353255952,2.17074471057339,177581.31156875,987577.3217,1570577.03,118749.7967,1638,1848,1125400,15653366.23,20.829568788501
"Agencia_51",0.0121666784628492,0.0352661151176543,0.0447206274568945,0.00857520895030964,0.0831875181887693,1.97209030892628,102575.02025625,838660.3372,1544768.83,99508.6095,1766,2056,1394300,14708148.73,22.1108829568789
"Agencia_52",0.0328093070409929,0.0438058314073172,0.0453371057484067,0.0221888518128879,0.0582250324882872,2.00215051890267,579728.257376471,2148595.687,3314305.26,453969.5308,2575,2955,2081200,29407513.69,28.5503080082135
"Agencia_53",0.0490060242680801,0.0504824614543101,0.0301285983405185,0.0341347496545904,0.0688737919322088,2.02980352470875,620253.3895,2576020.521,3783746.56,616471.3086,3281,3810,2214450,30455829.15,87.9835728952772
"Agencia_54",0.015164022419369,0.029887581180449,0.0306138551116274,0.0107829354763591,0.0193576193983458,1.86742296989826,105227.512323529,613668.1333,858034.55,63158.5975,722,806,961550,8053006.25,101.322381930185
"Agencia_55",0.0245243503761935,0.0410281199758968,0.0349883746143665,0.0130137991500693,0.0408955638050168,1.93477257936154,790737.534429412,3431007.6364,4851821.56,850542.4743,4036,4447,4234730,44699767.65,79.7700205338809
